"ENSP","cluster_membership","ENSG","shuffle.p.val.dom","shuffle.p.val.mut","p.adj.dom","p.adj.mut","constrained.dom","pathogenic.mut","constrained.mut","cluster_size","pathogenic.mut.norm"
"ENSP00000000442",1,"ENSG00000173153",0.8168,1,1,1,FALSE,0,FALSE,224,0
"ENSP00000000442",2,"ENSG00000173153",0,2e-04,0,0.0159640326975477,TRUE,0,TRUE,126,0
"ENSP00000000442",3,"ENSG00000173153",0.9999,0.9999,1,1,FALSE,0,FALSE,73,0
"ENSP00000013034",1,"ENSG00000239672",0.7269,0.9106,1,1,FALSE,0,FALSE,84,0
"ENSP00000013034",2,"ENSG00000239672",0.4219,0.6179,1,1,FALSE,0,FALSE,51,0
"ENSP00000013034",3,"ENSG00000239672",0.744,0.8385,1,1,FALSE,0,FALSE,28,0
"ENSP00000013034",4,"ENSG00000239672",0.3149,1,0.920351252120124,1,FALSE,0,FALSE,14,0
"ENSP00000013222",1,"ENSG00000241644",0.01,0.0489,0.151,0.708143068574248,FALSE,0,FALSE,55,0
"ENSP00000013222",10,"ENSG00000241644",0.9946,1,1,1,FALSE,0,FALSE,15,0
"ENSP00000013222",11,"ENSG00000241644",0.1664,0.6233,0.702077142445629,1,FALSE,0,FALSE,14,0
"ENSP00000013222",2,"ENSG00000241644",0.5564,0.7556,1,1,FALSE,0,FALSE,30,0
"ENSP00000013222",3,"ENSG00000241644",0.5332,0.7171,1,1,FALSE,0,FALSE,29,0
"ENSP00000013222",4,"ENSG00000241644",0.959,0.9855,1,1,FALSE,0,FALSE,28,0
"ENSP00000013222",5,"ENSG00000241644",0.2747,0.4243,0.871365652409312,1,FALSE,0,FALSE,20,0
"ENSP00000013222",6,"ENSG00000241644",0.3467,1,0.95777346284421,1,FALSE,0,FALSE,20,0
"ENSP00000013222",7,"ENSG00000241644",0.9857,0.9949,1,1,FALSE,0,FALSE,18,0
"ENSP00000013222",8,"ENSG00000241644",0.503,0.6471,1,1,FALSE,0,FALSE,17,0
"ENSP00000013222",9,"ENSG00000241644",0.7648,0.8607,1,1,FALSE,0,FALSE,17,0
"ENSP00000167588",1,"ENSG00000171431",0.7877,0.9961,1,1,FALSE,0,FALSE,107,0
"ENSP00000167588",2,"ENSG00000171431",0.1482,0.4212,0.666774811856858,1,FALSE,0,FALSE,91,0
"ENSP00000167588",3,"ENSG00000171431",0.9507,0.9909,1,1,FALSE,0,FALSE,67,0
"ENSP00000167588",4,"ENSG00000171431",0.9468,0.9916,1,1,FALSE,0,FALSE,66,0
"ENSP00000167588",5,"ENSG00000171431",0.0224,0.0883,0.249405397187381,0.959799703153989,FALSE,0,FALSE,61,0
"ENSP00000167588",6,"ENSG00000171431",0.2163,1,0.790003861484803,1,FALSE,0,FALSE,32,0
"ENSP00000192314",1,"ENSG00000154252",1e-04,1e-04,0.0050594127806563,0.00877065868263473,TRUE,0,TRUE,76,0
"ENSP00000192314",2,"ENSG00000154252",0.9994,1,1,1,FALSE,0,FALSE,61,0
"ENSP00000192314",3,"ENSG00000154252",1,1,1,1,FALSE,0,FALSE,61,0
"ENSP00000192314",4,"ENSG00000154252",0.5482,0.7072,1,1,FALSE,0,FALSE,57,0
"ENSP00000192314",5,"ENSG00000154252",2e-04,1,0.00902742681047766,1,TRUE,0,FALSE,54,0
"ENSP00000192314",6,"ENSG00000154252",0.0245,0.0557,0.262702415812592,0.759272126570498,FALSE,0,FALSE,45,0
"ENSP00000192314",7,"ENSG00000154252",0.9954,0.999,1,1,FALSE,0,FALSE,44,0
"ENSP00000198801",1,"ENSG00000166391",0.704,0.8872,1,1,FALSE,0,FALSE,57,0
"ENSP00000198801",10,"ENSG00000166391",0.8075,0.8933,1,1,FALSE,0,FALSE,20,0
"ENSP00000198801",2,"ENSG00000166391",0.6368,0.8296,1,1,FALSE,0,FALSE,51,0
"ENSP00000198801",3,"ENSG00000166391",0.196,0.411,0.758370624752345,1,FALSE,0,FALSE,46,0
"ENSP00000198801",4,"ENSG00000166391",0.1402,0.25,0.645960805284681,1,FALSE,0,FALSE,28,0
"ENSP00000198801",5,"ENSG00000166391",0.7079,1,1,1,FALSE,0,FALSE,28,0
"ENSP00000198801",6,"ENSG00000166391",0.435,1,1,1,FALSE,0,FALSE,28,0
"ENSP00000198801",7,"ENSG00000166391",0.5966,0.7558,1,1,FALSE,0,FALSE,27,0
"ENSP00000198801",8,"ENSG00000166391",0.6187,0.7613,1,1,FALSE,0,FALSE,25,0
"ENSP00000198801",9,"ENSG00000166391",0.8973,0.9583,1,1,FALSE,0,FALSE,24,0
"ENSP00000199280",1,"ENSG00000167580",0.9713,0.9963,1,1,FALSE,0,FALSE,69,0
"ENSP00000199280",2,"ENSG00000167580",0.8987,0.9661,1,1,FALSE,0,FALSE,52,0
"ENSP00000199280",3,"ENSG00000167580",0.7994,0.9241,1,1,FALSE,0,FALSE,46,0
"ENSP00000199280",4,"ENSG00000167580",0.0461,0.1092,0.372847432357813,1,FALSE,0,FALSE,35,0
"ENSP00000199280",5,"ENSG00000167580",0.1357,0.2257,0.634711128851988,1,FALSE,0,FALSE,27,0
"ENSP00000199280",6,"ENSG00000167580",0.4619,0.6605,1,1,FALSE,0,FALSE,23,0
"ENSP00000199280",7,"ENSG00000167580",0.0729,1,0.476149966555184,1,FALSE,1,FALSE,19,0.0526315789473684
"ENSP00000200307",1,"ENSG00000108688",0.8991,0.9718,1,1,FALSE,0,FALSE,39,0
"ENSP00000200307",2,"ENSG00000108688",0.7024,0.8416,1,1,FALSE,0,FALSE,27,0
"ENSP00000200307",3,"ENSG00000108688",0.6664,0.8889,1,1,FALSE,0,FALSE,21,0
"ENSP00000200307",4,"ENSG00000108688",0.0183,0.0373,0.221520743801653,0.615933596392334,FALSE,0,FALSE,12,0
"ENSP00000200307",5,"ENSG00000108688",0.587,1,1,1,FALSE,0,FALSE,10,0
"ENSP00000202625",1,"ENSG00000166948",1e-04,1,0.0050594127806563,1,TRUE,7,FALSE,214,0.0327102803738318
"ENSP00000202625",2,"ENSG00000166948",0.9337,0.9921,1,1,FALSE,2,FALSE,106,0.0188679245283019
"ENSP00000202625",3,"ENSG00000166948",0.9962,0.9996,1,1,FALSE,3,FALSE,95,0.0315789473684211
"ENSP00000202625",4,"ENSG00000166948",0.8005,0.95,1,1,FALSE,2,FALSE,88,0.0227272727272727
"ENSP00000202625",5,"ENSG00000166948",0.351,0.6259,0.96293257164263,1,FALSE,2,FALSE,68,0.0294117647058824
"ENSP00000202625",6,"ENSG00000166948",0.9971,0.9995,1,1,FALSE,2,FALSE,54,0.037037037037037
"ENSP00000202625",7,"ENSG00000166948",0.0668,0.1665,0.45360203987019,1,FALSE,0,FALSE,48,0
"ENSP00000202625",8,"ENSG00000166948",0.1392,0.2638,0.643275721722669,1,FALSE,3,FALSE,33,0.0909090909090909
"ENSP00000209668",1,"ENSG00000187758",0.9448,1,1,1,FALSE,0,FALSE,119,0
"ENSP00000209668",2,"ENSG00000187758",0.1222,0.317,0.608073178189231,1,FALSE,0,FALSE,74,0
"ENSP00000209668",3,"ENSG00000187758",0.4712,0.6803,1,1,FALSE,0,FALSE,44,0
"ENSP00000209668",4,"ENSG00000187758",0.2724,0.4574,0.868300935799782,1,FALSE,0,FALSE,43,0
